filename,ita_mean,skin_tone
000001.png,25.755188,IV
000002.png,29.073484,III
000003.png,36.3906,III
000004.png,14.501804,IV
000005.png,28.380884,III
000006.png,15.413882,IV
000007.png,20.375399,IV
000008.png,3.5765476,V
000009.png,24.180523,IV
000010.png,33.068336,III
000011.png,18.189068,IV
000012.png,25.462505,IV
000013.png,40.323193,III
000014.png,24.286148,IV
000015.png,17.332268,IV
000016.png,22.13377,IV
000017.png,36.31416,III
000018.png,25.631264,IV
000019.png,31.027925,III
000020.png,25.353497,IV
000021.png,23.50936,IV
000022.png,38.61767,III
000023.png,40.44212,III
000024.png,35.468204,III
000025.png,30.927805,III
000026.png,24.006533,IV
000027.png,34.12995,III
000028.png,34.15291,III
000029.png,34.982243,III
000030.png,23.683502,IV
000031.png,29.973581,III
000032.png,32.42011,III
000033.png,30.57529,III
000034.png,25.443125,IV
000035.png,27.91116,IV
000036.png,31.725134,III
000037.png,30.28214,III
000038.png,32.704422,III
000039.png,24.901356,IV
000040.png,39.745953,III
000041.png,28.823286,III
000042.png,34.938942,III
000043.png,35.34331,III
000044.png,32.083576,III
000045.png,28.216288,III
000046.png,28.88145,III
000047.png,32.531895,III
000048.png,22.807812,IV
000049.png,37.978905,III
000050.png,36.004314,III
000051.png,22.905224,IV
000052.png,39.31196,III
000053.png,14.141521,IV
000054.png,32.082264,III
000055.png,25.929382,IV
000056.png,34.32399,III
000057.png,24.799318,IV
000058.png,42.175144,II
000059.png,23.272308,IV
000060.png,19.647179,IV
000061.png,26.270544,IV
000062.png,28.629723,III
000063.png,22.923475,IV
000064.png,19.603994,IV
000065.png,30.85214,III
000066.png,36.56527,III
000067.png,36.85378,III
000068.png,30.13581,III
000069.png,9.317851,V
000070.png,32.378555,III
000071.png,30.279518,III
000072.png,35.487946,III
000073.png,34.028122,III
000074.png,33.631924,III
000075.png,35.076084,III
000076.png,29.423069,III
000077.png,1.509953,V
000078.png,34.450523,III
000079.png,21.581797,IV
000080.png,23.374928,IV
000081.png,16.42204,IV
000082.png,36.508587,III
000083.png,39.884384,III
000084.png,32.1896,III
000085.png,24.022938,IV
000086.png,30.66797,III
000087.png,24.953415,IV
000088.png,24.262081,IV
000089.png,28.500143,III
000090.png,36.249428,III
000091.png,41.084732,II
000092.png,29.290249,III
000093.png,28.833933,III
000094.png,10.4551525,IV
000095.png,6.853046,V
000096.png,36.64207,III
000097.png,26.91214,IV
000098.png,20.76127,IV
000099.png,8.789477,V
000100.png,31.990992,III
000101.png,19.090834,IV
000102.png,30.669964,III
000103.png,24.765,IV
000104.png,35.063007,III
000105.png,13.109535,IV
000106.png,9.845804,V
000107.png,29.215595,III
000108.png,33.764587,III
000109.png,30.315943,III
000110.png,28.443165,III
000111.png,31.438427,III
000112.png,29.271484,III
000113.png,17.297346,IV
000114.png,21.250353,IV
